x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007,x0008,y0008,x0009,y0009
0.002863157,-7.14E-05,0.001400977,4.79E-05,0.002065251,0.000706818,0.002904287,0.000227182,-0.000729767,8.99E-06,0.001244626,3.98E-06,0.002233121,0.000409931,0.002153719,0.000299328,0.002622137,0.000151113,0.002904287,0.000273949
0.002913157,-7.10E-05,0.001450977,4.87E-05,0.002115251,0.000706754,0.002954287,0.000225855,-0.000679767,8.47E-06,0.001294626,2.63E-06,0.002283121,0.000412472,0.002203719,0.000301384,0.002672137,0.000142376,0.002954287,0.000274512
0.002963157,-7.08E-05,0.001500977,4.99E-05,0.002165251,0.00070621,0.003004287,0.000226568,-0.000629767,8.55E-06,0.001344626,1.48E-06,0.002333121,0.000414384,0.002253719,0.000302888,0.002722137,0.000140462,0.003004287,0.000274898
0.003013157,-7.23E-05,0.001550977,5.04E-05,0.002215251,0.000706,0.003054287,0.000226539,-0.000579767,6.35E-06,0.001394626,1.84E-06,0.002383121,0.000417445,0.002303719,0.000304204,0.002772137,0.000145617,0.003054287,0.000274092
0.003063157,-7.10E-05,0.001600977,5.12E-05,0.002265251,0.000707476,0.003104287,0.000227192,-0.000529767,6.03E-06,0.001444626,3.80E-06,0.002433121,0.000419917,0.002353719,0.000305186,0.002822137,0.000151263,0.003104287,0.000274736
0.003113157,-7.25E-05,0.001650977,5.09E-05,0.002315251,0.000705827,0.003154287,0.000227961,-0.000479767,4.59E-06,0.001494626,4.25E-06,0.002483121,0.000420565,0.002403719,0.000306114,0.002872137,0.00014493,0.003154287,0.000276248
0.003163157,-7.30E-05,0.001700977,5.10E-05,0.002365251,0.000705513,0.003204287,0.000227252,-0.000429767,2.60E-06,0.001544626,4.03E-06,0.002533121,0.000423052,0.002453719,0.000307743,0.002922137,0.000146323,0.003204287,0.000277339
0.003213157,-7.30E-05,0.001750977,5.16E-05,0.002415251,0.000705098,0.003254287,0.000229055,-0.000379767,1.91E-06,0.001594626,4.41E-06,0.002583121,0.000423478,0.002503719,0.000310439,0.002972137,0.00014676,0.003254287,0.000277599
0.003263157,-7.26E-05,0.001800977,5.37E-05,0.002465251,0.000706341,0.003304287,0.000229434,-0.000329767,1.48E-06,0.001644626,5.37E-06,0.002633121,0.000424798,0.002553719,0.000310156,0.003022137,0.000144023,0.003304287,0.000277228
0.003313157,-7.33E-05,0.001850977,5.55E-05,0.002515251,0.000708366,0.003354287,0.000229717,-0.000279767,1.34E-06,0.001694626,6.38E-06,0.002683121,0.000426518,0.002603719,0.00031088,0.003072137,0.0001324,0.003354287,0.000276734
0.003363157,-7.25E-05,0.001900977,5.56E-05,0.002565251,0.000709296,0.003404287,0.000230984,-0.000229767,1.46E-07,0.001744626,6.41E-06,0.002733121,0.00042783,0.002653719,0.000311358,0.003122137,0.000135052,0.003404287,0.000277185
0.003413157,-7.18E-05,0.001950977,5.66E-05,0.002615251,0.000711168,0.003454287,0.00023157,-0.000179767,-3.63E-07,0.001794626,6.83E-06,0.002783121,0.000427504,0.002703719,0.000312177,0.003172137,0.000142405,0.003454287,0.000277389
0.003463157,-7.25E-05,0.002000977,5.77E-05,0.002665251,0.000714095,0.003504287,0.00023021,-0.000129767,-2.01E-06,0.001844626,6.92E-06,0.002833121,0.000428352,0.002753719,0.000311951,0.003222137,0.000145283,0.003504287,0.000277451
0.003513157,-7.21E-05,0.002050977,5.79E-05,0.002715251,0.000716931,0.003554287,0.000229887,-7.98E-05,-1.27E-06,0.001894626,7.57E-06,0.002883121,0.000427616,0.002803719,0.00031179,0.003272137,0.000143699,0.003554287,0.000276579
0.003563157,-7.41E-05,0.002100977,5.69E-05,0.002765251,0.000719405,0.003604287,0.000228593,-2.98E-05,-5.99E-07,0.001944626,7.97E-06,0.002933121,0.000428175,0.002853719,0.000310707,0.003322137,0.000140868,0.003604287,0.000276925
0.003613157,-7.46E-05,0.002150977,5.65E-05,0.002815251,0.000723169,0.003654287,0.000227225,2.02E-05,8.02E-07,0.001994626,9.94E-06,0.002983121,0.000429302,0.002903719,0.000310748,0.003372137,0.000136185,0.003654287,0.000275738
0.003663157,-7.58E-05,0.002200977,5.67E-05,0.002865251,0.00072709,0.003704287,0.000227101,7.02E-05,3.49E-06,0.002044626,9.08E-06,0.003033121,0.000428716,0.002953719,0.000310008,0.003422137,0.00013789,0.003704287,0.000275535
0.003713157,-7.50E-05,0.002250977,5.75E-05,0.002915251,0.000731177,0.003754287,0.00022727,0.000120233,7.62E-06,0.002094626,8.62E-06,0.003083121,0.000428411,0.003003719,0.000309493,0.003472137,0.000139575,0.003754287,0.000274764
0.003763157,-7.52E-05,0.002300977,5.76E-05,0.002965251,0.000734649,0.003804287,0.000228046,0.000170233,1.46E-05,0.002144626,8.25E-06,0.003133121,0.000430255,0.003053719,0.000310823,0.003522137,0.000140603,0.003804287,0.000274102
0.003813157,-7.62E-05,0.002350977,5.71E-05,0.003015251,0.000738673,0.003854287,0.000228583,0.000220233,2.32E-05,0.002194626,7.44E-06,0.003183121,0.000431918,0.003103719,0.000311498,0.003572137,0.000138802,0.003854287,0.000272999
0.003863157,-7.70E-05,0.002400977,5.60E-05,0.003065251,0.0007413,0.003904287,0.000229217,0.000270233,3.44E-05,0.002244626,9.07E-06,0.003233121,0.000430105,0.003153719,0.000311997,0.003622137,0.000142884,0.003904287,0.000272944
0.003913157,-7.73E-05,0.002450977,5.67E-05,0.003115251,0.000742854,0.003954287,0.000228405,0.000320233,4.99E-05,0.002294626,7.87E-06,0.003283121,0.000428891,0.003203719,0.000312132,0.003672137,0.000136704,0.003954287,0.000272206
0.003963157,-7.74E-05,0.002500977,5.75E-05,0.003165251,0.000743789,0.004004287,0.00022761,0.000370233,6.67E-05,0.002344626,6.15E-06,0.003333121,0.000429691,0.003253719,0.00031272,0.003722137,0.000138746,0.004004287,0.00027195
0.004013157,-7.64E-05,0.002550977,5.73E-05,0.003215251,0.000748166,0.004054287,0.000227539,0.000420233,8.41E-05,0.002394626,4.70E-06,0.003383121,0.000430853,0.003303719,0.000312725,0.003772137,0.000133615,0.004054287,0.00027169
0.004063157,-7.75E-05,0.002600977,5.86E-05,0.003265251,0.000749447,0.004104287,0.000227533,0.000470233,0.000104258,0.002444626,6.23E-06,0.003433121,0.000431166,0.003353719,0.000311308,0.003822137,0.000133805,0.004104287,0.000271232
0.004113157,-7.84E-05,0.002650977,5.89E-05,0.003315251,0.000751075,0.004154287,0.000227701,0.000520233,0.000126038,0.002494626,7.01E-06,0.003483121,0.000431572,0.003403719,0.000311249,0.003872137,0.000128026,0.004154287,0.000270742
0.004163157,-7.74E-05,0.002700977,5.84E-05,0.003365251,0.00075055,0.004204287,0.000228295,0.000570233,0.000150549,0.002544626,8.38E-06,0.003533121,0.000431451,0.003453719,0.000309874,0.003922137,0.00012817,0.004204287,0.000270372
0.004213157,-7.87E-05,0.002750977,5.91E-05,0.003415251,0.000749715,0.004254287,0.00022716,0.000620233,0.000172435,0.002594626,9.62E-06,0.003583121,0.000432762,0.003503719,0.000308932,0.003972137,0.000130303,0.004254287,0.000268411
0.004263157,-7.84E-05,0.002800977,5.89E-05,0.003465251,0.00075096,0.004304287,0.000224285,0.000670233,0.000193481,0.002644626,9.31E-06,0.003633121,0.000432396,0.003553719,0.000307116,0.004022137,0.00013618,0.004304287,0.000267388
0.004313157,-7.82E-05,0.002850977,5.82E-05,0.003515251,0.00075154,0.004354287,0.000222161,0.000720233,0.000217416,0.002694626,9.72E-06,0.003683121,0.00042921,0.003603719,0.000306945,0.004072137,0.000137477,0.004354287,0.000267277
0.004363157,-7.82E-05,0.002900977,5.81E-05,0.003565251,0.000751091,0.004404287,0.00022149,0.000770233,0.000241627,0.002744626,7.95E-06,0.003733121,0.000429476,0.003653719,0.000305538,0.004122137,0.000134666,0.004404287,0.000268088
0.004413157,-7.71E-05,0.002950977,5.71E-05,0.003615251,0.00075014,0.004454287,0.000221114,0.000820233,0.000264025,0.002794626,8.94E-06,0.003783121,0.000428871,0.003703719,0.000305196,0.004172137,0.000136084,0.004454287,0.000266188
0.004463157,-7.66E-05,0.003000977,5.66E-05,0.003665251,0.000748918,0.004504287,0.000221426,0.000870233,0.00028407,0.002844626,7.55E-06,0.003833121,0.000427709,0.003753719,0.00030509,0.004222137,0.000134738,0.004504287,0.000266043
0.004513157,-7.75E-05,0.003050977,5.71E-05,0.003715251,0.000747738,0.004554287,0.000221745,0.000920233,0.000304573,0.002894626,5.98E-06,0.003883121,0.000427272,0.003803719,0.000303363,0.004272137,0.000119873,0.004554287,0.000266193
0.004563157,-7.81E-05,0.003100977,5.79E-05,0.003765251,0.000746048,0.004604287,0.000219335,0.000970233,0.000324176,0.002944626,6.91E-06,0.003933121,0.000426234,0.003853719,0.000302357,0.004322137,0.000119038,0.004604287,0.0002656
0.004613157,-7.78E-05,0.003150977,5.75E-05,0.003815251,0.000744566,0.004654287,0.000218379,0.001020233,0.000343167,0.002994626,9.34E-06,0.003983121,0.000425259,0.003903719,0.000301203,0.004372137,0.000123266,0.004654287,0.000263596
0.004663157,-7.95E-05,0.003200977,5.76E-05,0.003865251,0.000741171,0.004704287,0.000219298,0.001070233,0.000360698,0.003044626,7.83E-06,0.004033121,0.000425148,0.003953719,0.000298888,0.004422137,0.000128645,0.004704287,0.000261909
0.004713157,-7.80E-05,0.003250977,5.70E-05,0.003915251,0.00074034,0.004754287,0.000217595,0.001120233,0.000378726,0.003094626,8.54E-06,0.004083121,0.000424592,0.004003719,0.000297735,0.004472137,0.000121078,0.004754287,0.000260137
0.004763157,-7.75E-05,0.003300977,5.71E-05,0.003965251,0.000738128,0.004804287,0.000216857,0.001170233,0.000396091,0.003144626,1.12E-05,0.004133121,0.000422847,0.004053719,0.000297187,0.004522137,0.000124705,0.004804287,0.000258898
0.004813157,-7.76E-05,0.003350977,5.76E-05,0.004015251,0.000734446,0.004854287,0.000217343,0.001220233,0.000411985,0.003194626,1.21E-05,0.004183121,0.000421209,0.004103719,0.000296808,0.004572137,0.000131737,0.004854287,0.000258871
0.004863157,-7.88E-05,0.003400977,5.77E-05,0.004065251,0.000734296,0.004904287,0.00021782,0.001270233,0.000424437,0.003244626,1.21E-05,0.004233121,0.000422144,0.004153719,0.00029542,0.004622137,0.000130627,0.004904287,0.000258855
0.004913157,-7.84E-05,0.003450977,5.79E-05,0.004115251,0.000735131,0.004954287,0.000217314,0.001320233,0.000437479,0.003294626,1.07E-05,0.004283121,0.000421639,0.004203719,0.00029544,0.004672137,0.000123028,0.004954287,0.00025826
